Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220n,C_0603_1608Metric,135.3058,-102.3874,90.0,top
C2,220n,C_0603_1608Metric,133.7056,-101.3714,-90.0,top
C3,220n,C_0603_1608Metric,149.3012,-99.2886,90.0,top
C4,220n,C_0603_1608Metric,149.3266,-102.4636,90.0,top
C5,10u,C_0805_2012Metric,147.8788,-111.6076,180.0,top
C6,10u,C_0805_2012Metric,136.6012,-111.6076,0.0,top
D1,green,LED_0805_2012Metric,157.4292,-116.078,90.0,top
D2,green,LED_0805_2012Metric,131.5974,-114.9604,180.0,top
D3,ZMM5V6-M,D_MiniMELF,155.2448,-113.8174,-90.0,top
D4,LED_Small,LED_0805_2012Metric,131.1656,-95.0976,0.0,top
FB1,GZ2012D601TF,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,132.7912,-111.6838,0.0,top
FB2,GZ2012D601TF,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,151.892,-111.7346,0.0,top
Q1,MMBT3904,SOT-23,130.302,-102.8215,-90.0,top
R1,22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.9944,-108.1278,0.0,top
R2,22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.9944,-106.8832,0.0,top
R3,22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,151.8158,-106.9086,0.0,top
R4,22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,151.8158,-105.8672,0.0,top
R5,3k3,R_0603_1608Metric,135.382,-97.8916,-90.0,top
R6,22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,149.225,-105.1306,90.0,top
R7,10k,R_0603_1608Metric,133.096,-104.4702,-90.0,top
R8,3k3,R_0603_1608Metric,150.9522,-102.4636,90.0,top
R9,22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,135.0518,-104.4956,0.0,top
R10,10k,R_0603_1608Metric,129.0828,-114.4778,-90.0,top
R11,3k3,R_0603_1608Metric,134.5438,-93.8784,0.0,top
R12,10k,R_0603_1608Metric,157.3276,-112.8014,-90.0,top
R13,10k,R_0603_1608Metric,128.7018,-98.1202,90.0,top
R15,3k3,R_0603_1608Metric,134.4168,-95.4024,0.0,top
U1,ADUM4160,SOIC-16W_7.5x10.3mm_P1.27mm,142.2908,-104.9782,0.0,top
U2,EL814,SMDIP-4_W9.53mm,142.3162,-95.7072,0.0,top
U4,LMV321,SOT-23-5_HandSoldering,132.0292,-98.0069,180.0,top
U5,SRV05-4,SOT-23-6,154.7368,-106.3752,90.0,top
U6,SRV05-4,SOT-23-6,129.7432,-107.569,90.0,top
U7,~,USB A male SMD,160.7592,-106.4112,90.0,top
